type,x1,y1,x2,y2
h,402.138,453.826,576.804,448.174
h,402.138,373.826,576.804,375.159
h,402.138,495.826,576.804,499.138
h,402.138,588.112,576.804,588.112
h,304.805,594.721,383.471,594.721
h,305.011,368.125,383.677,368.125
h,381.471,273.205,590.138,273.205
h,381.471,689.782,590.138,689.782
h,304.805,324.75,601.471,324.75
h,304.805,637.826,601.471,637.826
v,332.011,282.493,332.011,681.159
v,369.239,307.159,369.239,661.159
v,466.529,249.826,466.529,713.159
v,500.804,249.826,500.804,713.159
v,553.504,249.826,553.504,713.159
v,412.993,250.417,412.993,713.749
v,446.529,352.493,446.529,608.493
