cx,cy,r,cx_0,cy_0,cx_1,cy_1
513.797,122.81,16.684,498.114,376.805,513.797,148.81
440.812,122.959,16.684,462.418,377.805,440.812,148.959
243.167,208.28,16.684,431.05,390.168,263.883,225.483
192.141,260.319,16.684,404.689,412.946,212.856,277.522
118.735,446.376,16.684,385.324,440.847,147.735,446.376
118.667,518.902,16.684,386.509,520.052,147.667,518.902
204.184,715.925,16.684,403.552,548.706,230.061,699.576
255.938,767.044,16.684,430.062,569.296,281.815,750.695
443.997,840.785,16.684,462.681,580.772,443.997,811.785
516.927,840.273,16.684,497.299,581.438,516.927,811.273
711.185,755.088,16.684,530.946,572.296,688.261,737.924
762.661,703.432,16.684,558.655,550.612,739.737,686.268
836.199,515.875,16.684,576.309,523.667,812.199,515.875
835.954,443.283,16.684,578.124,437.997,811.954,443.283
750.884,248.013,16.684,558.625,409.095,732.385,266.846
699.142,196.568,16.684,530.936,388.066,680.643,215.401
152.289,561.138,24.434,456,505,117.789,574.609
196.434,664.098,24.434,456,505,161.934,677.569
310.317,772.095,24.434,456,505,294.317,807.095
401.429,808.603,24.434,456,505,385.429,843.603
558.315,807.762,24.434,504,505,578.853,842.723
660.748,763.567,24.434,504,505,681.286,798.528
769.757,650.265,24.434,504,505,807.778,664.314
805.977,558.208,24.434,504,505,843.998,572.258
805.491,401.259,24.434,504,455,841.844,382.598
760.979,297.474,24.434,504,455,797.332,278.813
646.946,189.581,24.434,504,455,668.77,152.941
556.433,153.941,24.434,504,455,578.256,117.301
398.75,154.038,24.434,455,455,376.683,119.732
294.699,199.728,24.434,455,455,272.633,165.422
186.317,314.095,24.434,455,455,149.551,303.464
151.317,404.095,24.434,455,455,114.551,393.464
