x1,y1,x2,y2,x1_0,y1_0,x2_0,y2_0
531.999,67.427,531.999,223.5,533.936,403.75,533.936,559.822
424.128,67.427,424.128,223.5,426.065,403.75,426.065,559.822
217.465,157.062,329.066,266.166,444.711,370.484,556.312,479.588
141.803,237.108,253.404,346.212,369.049,450.53,480.651,559.635
67.766,429.69,223.84,429.69,400.581,426.082,556.655,426.082
67.766,536.703,223.84,536.703,400.581,533.094,556.655,533.094
736.729,425.691,892.803,425.691,401.676,426.154,557.75,426.154
738.604,532.559,894.679,532.559,403.552,533.021,559.626,533.021
533.881,738.403,533.881,894.476,533.428,401.539,533.428,557.611
426.451,739.253,426.451,895.325,425.998,402.389,425.998,558.461
629.382,698.656,740.983,807.761,404.008,483.395,515.609,592.499
703.992,621.145,815.594,730.249,478.618,405.883,590.22,514.987
234.408,814.648,344.979,704.5,445.885,594.49,556.457,484.342
155.429,738.253,266,628.104,366.906,518.094,477.477,407.946
694.783,328.279,805.354,218.13,487.081,552.18,597.652,442.031
616.392,254,726.963,143.852,408.689,477.901,519.261,367.75
