cx,cy,r,cx_0,cy_0,r_0
152.289,561.138,24.434,456,505,24.434
196.434,664.098,24.434,456,505,24.434
310.317,772.095,24.434,456,505,24.434
401.429,808.603,24.434,456,505,24.434
558.315,807.762,24.434,504,505,24.434
660.748,763.567,24.434,504,505,24.433
769.757,650.265,24.434,504,505,24.434
805.977,558.208,24.434,504,505,24.434
805.491,401.259,24.434,504,455,24.434
760.979,297.474,24.434,504,455,24.434
646.946,189.581,24.434,504,455,24.434
556.433,153.941,24.434,504,455,24.434
398.75,154.038,24.434,455,455,24.434
294.699,199.728,24.434,455,455,24.434
186.317,314.095,24.434,455,455,24.434
151.317,404.095,24.434,455,455,24.434
