x1,y1,x2,y2
49.271,50.438,49.271,449.104
86.5,75.104,86.5,429.104
98.731,41.15,307.398,41.15
98.731,457.728,307.398,457.728
22.065,92.695,318.731,92.695
22.065,405.771,318.731,405.771
183.79,17.771,183.79,481.104
218.064,17.771,218.064,481.104
270.765,17.771,270.765,481.104
130.254,18.362,130.254,481.694
22.065,362.666,100.731,362.666
22.271,136.07,100.938,136.07
163.79,120.438,163.79,376.438
119.398,141.771,294.064,143.104
119.398,263.771,294.064,267.083
119.398,356.058,294.064,356.058
119.398,221.771,294.064,216.119
